Date,Open,High,Low,Close ,Adj Close ,Volume
8-Nov-21,"48,868.23","49,076.04","48,081.18","48,712.27","48,712.27",-
1-Nov-21,"47,795.09","49,089.39","47,777.29","48,868.23","48,868.23",-
25-Oct-21,"47,281.86","47,873.27","47,186.42","47,795.09","47,795.09",-
18-Oct-21,"46,547.78","47,458.22","46,341.14","47,281.86","47,281.86",-
11-Oct-21,"45,654.56","46,627.02","45,157.37","46,547.78","46,547.78",-
4-Oct-21,"45,362.75","46,077.97","44,527.87","45,654.56","45,654.56",-
27-Sep-21,"46,361.23","46,426.91","44,633.39","45,362.75","45,362.75",-
20-Sep-21,"46,143.71","46,496.34","44,760.60","46,361.23","46,361.23",-
13-Sep-21,"46,344.48","46,660.16","46,029.33","46,143.71","46,143.71",-
6-Sep-21,"47,198.27","47,198.27","46,337.02","46,344.48","46,344.48",-
30-Aug-21,"46,877.90","47,277.19","46,877.90","47,198.27","47,198.27",-
23-Aug-21,"45,908.66","46,918.80","45,908.66","46,877.90","46,877.90",-
16-Aug-21,"46,378.57","46,378.57","45,204.66","45,908.66","45,908.66",-
9-Aug-21,"46,143.35","46,410.94","46,000.24","46,378.57","46,378.57",-
2-Aug-21,"45,708.00","46,245.69","45,425.03","46,143.35","46,143.35",-
26-Jul-21,"45,940.78","46,164.25","45,411.17","45,708.00","45,708.00",-
19-Jul-21,"44,920.28","45,970.81","43,997.48","45,940.78","45,940.78",-
12-Jul-21,"45,684.89","45,800.75","44,872.05","44,920.28","44,920.28",-
5-Jul-21,"45,563.39","45,701.02","44,705.52","45,684.89","45,684.89",-
28-Jun-21,"45,037.96","45,594.19","44,932.74","45,563.39","45,563.39",-
21-Jun-21,"43,762.78","45,091.33","43,762.78","45,037.96","45,037.96",-
14-Jun-21,"44,618.15","44,676.82","43,746.64","43,762.78","43,762.78",-
7-Jun-21,"44,239.75","44,618.69","44,146.02","44,618.15","44,618.15",-
31-May-21,"43,966.36","44,277.08","43,587.04","44,239.75","44,239.75",-
24-May-21,"43,322.74","44,117.30","43,322.74","43,966.36","43,966.36",-
17-May-21,"43,415.80","43,679.46","42,293.92","43,322.74","43,322.74",-
10-May-21,"44,085.07","44,085.07","42,146.75","43,415.80","43,415.80",-
3-May-21,"43,870.09","44,155.54","43,165.22","44,085.07","44,085.07",-
26-Apr-21,"43,875.28","44,386.09","43,804.83","43,870.09","43,870.09",-
19-Apr-21,"43,887.91","44,013.82","43,000.02","43,875.28","43,875.28",-
12-Apr-21,"43,288.24","43,944.33","43,111.78","43,887.91","43,887.91",-
